WORD,LENGTH,SIZE,CATEGORY
CAT,3,large,MAMMALS
HORSE,5,large,MAMMALS
COW,3,large,MAMMALS
LION,4,large,MAMMALS
TIGER,5,large,MAMMALS
ELEPHANT,8,large,MAMMALS
PIG,3,large,MAMMALS
DOG,3,large,MAMMALS
MOUSE,5,small,MAMMALS
RAT,3,small,MAMMALS
FERRET,6,small,MAMMALS
SHEEP,5,large,MAMMALS
GIRAFFE,7,large,MAMMALS
GOAT,4,large,MAMMALS
ZEBRA,5,large,MAMMALS
SQUIRREL,8,small,MAMMALS
WOLF,4,large,MAMMALS
DONKEY,6,small,MAMMALS
RABBIT,6,small,MAMMALS
LEOPARD,7,large,MAMMALS
MULE,4,large,MAMMALS
FOX,3,large,MAMMALS
MOOSE,5,large,MAMMALS
RHINOCEROS,10,large,MAMMALS
CAMEL,5,large,MAMMALS
ANTELOPE,8,large,MAMMALS
HIPPOPOTAMUS,12,large,MAMMALS
MONKEY,6,large,MAMMALS
RACOON,6,large,MAMMALS
PANTHER,7,large,MAMMALS
LLAMA,5,large,MAMMALS
