WORD,LENGTH,SIZE,CATEGORY
FLY,3,small,INSECTS
ANT,3,small,INSECTS
BEE,3,small,INSECTS
MOSQUITO,8,small,INSECTS
SPIDER,6,small,INSECTS
BEETLE,6,small,INSECTS
MILLIPEDE,9,small,INSECTS
WASP,4,small,INSECTS
GRASSHOPPER,11,small,INSECTS
GNAT,4,small,INSECTS
MOTH,4,small,INSECTS
FLEA,4,small,INSECTS
BUTTERFLY,9,small,INSECTS
COCKROACH,9,small,INSECTS
TERMITE,7,small,INSECTS
HORNET,6,small,INSECTS
MITE,4,small,INSECTS
CATERPILLAR,11,small,INSECTS
TICK,4,small,INSECTS
WATERBUG,8,small,INSECTS
CENTIPEDE,9,small,INSECTS
LOUSE,5,small,INSECTS
HORSEFLY,8,small,INSECTS
APHID,5,small,INSECTS
CICADA,6,small,INSECTS
TARANTULA,9,small,INSECTS
SCORPION,8,small,INSECTS
KATYDID,7,small,INSECTS
WEEVIL,6,small,INSECTS
FIREFLY,7,small,INSECTS
SLUG,4,small,INSECTS
CUTWORM,7,small,INSECTS
