WORD,LENGTH,SIZE,CATEGORY
SHIRT,5,small,CLOTHING
SOCKS,5,small,CLOTHING
PANTS,5,small,CLOTHING
SHOES,5,small,CLOTHING
BLOUSE,6,small,CLOTHING
SKIRT,5,small,CLOTHING
COAT,4,small,CLOTHING
DRESS,5,small,CLOTHING
HAT,3,small,CLOTHING
SWEATER,7,small,CLOTHING
TIE,3,small,CLOTHING
SLIP,4,small,CLOTHING
JACKET,6,small,CLOTHING
SLACKS,6,small,CLOTHING
GLOVES,6,small,CLOTHING
BELT,4,small,CLOTHING
UNDERWEAR,9,small,CLOTHING
SHORTS,6,small,CLOTHING
BRA,3,small,CLOTHING
SCARF,5,small,CLOTHING
SUIT,4,small,CLOTHING
STOCKINGS,9,small,CLOTHING
TROUSERS,8,small,CLOTHING
ROBE,4,small,CLOTHING
VEST,4,small,CLOTHING
JUMPER,6,small,CLOTHING
GIRDLE,6,small,CLOTHING
OVERCOAT,8,small,CLOTHING
OVERSHOES,9,small,CLOTHING
RAINCOAT,8,small,CLOTHING
PANTIES,7,small,CLOTHING
PAJAMAS,7,small,CLOTHING
