WORD,LENGTH,SIZE,CATEGORY
PIANO,5,large,INSTRUMENTS
DRUM,4,large,INSTRUMENTS
TRUMPET,7,large,INSTRUMENTS
VIOLIN,6,large,INSTRUMENTS
CLARINET,8,small,INSTRUMENTS
FLUTE,5,small,INSTRUMENTS
GUITAR,6,large,INSTRUMENTS
SAXOPHONE,9,large,INSTRUMENTS
TROMBONE,8,large,INSTRUMENTS
OBOE,4,small,INSTRUMENTS
TUBA,4,large,INSTRUMENTS
HARP,4,large,INSTRUMENTS
CELLO,5,large,INSTRUMENTS
BANJO,5,large,INSTRUMENTS
KAZOO,5,small,INSTRUMENTS
MARIMBA,7,large,INSTRUMENTS
VIOLA,5,large,INSTRUMENTS
PICCOLO,7,small,INSTRUMENTS
CYMBALS,7,small,INSTRUMENTS
HARMONICA,9,small,INSTRUMENTS
BASSOON,7,large,INSTRUMENTS
ACCORDION,9,large,INSTRUMENTS
CORNET,6,large,INSTRUMENTS
XYLOPHONE,9,large,INSTRUMENTS
TRIANGLE,8,small,INSTRUMENTS
MARACAS,7,small,INSTRUMENTS
BUGLE,5,large,INSTRUMENTS
UKULELE,7,small,INSTRUMENTS
ORGAN,5,large,INSTRUMENTS
TAMBOURINE,10,small,INSTRUMENTS
BONGOS,6,large,INSTRUMENTS
BASS,4,large,INSTRUMENTS
