WORD,LENGTH,SIZE,CATEGORY
FRANCE,6,large,COUNTRIES
RUSSIA,6,large,COUNTRIES
ENGLAND,7,large,COUNTRIES
GERMANY,7,large,COUNTRIES
CANADA,6,large,COUNTRIES
ITALY,5,large,COUNTRIES
SPAIN,5,large,COUNTRIES
MEXICO,6,large,COUNTRIES
ETHIOPIA,8,large,COUNTRIES
JAPAN,5,large,COUNTRIES
SWEDEN,6,large,COUNTRIES
BRAZIL,6,large,COUNTRIES
SWITZERLAND,11,large,COUNTRIES
IRELAND,7,large,COUNTRIES
AUSTRALIA,9,large,COUNTRIES
NORWAY,6,large,COUNTRIES
INDIA,5,large,COUNTRIES
ARGENTINA,9,large,COUNTRIES
DENMARK,7,large,COUNTRIES
GREECE,6,large,COUNTRIES
POLAND,6,large,COUNTRIES
ISRAEL,6,large,COUNTRIES
AUSTRIA,7,large,COUNTRIES
SCOTLAND,8,large,COUNTRIES
BELGIUM,7,large,COUNTRIES
CUBA,4,large,COUNTRIES
PORTUGAL,8,large,COUNTRIES
EGYPT,5,large,COUNTRIES
FINLAND,7,large,COUNTRIES
PAKISTAN,8,large,COUNTRIES
VENEZUELA,9,large,COUNTRIES
IRAN,4,large,COUNTRIES
