AWNING,large,BUILDING RELATED
SIDING,large,BUILDING RELATED
THROAT,small,BODY PARTS
APPLE,small,FRUITS
PEACH,small,FRUITS
CHERRY,small,FRUITS
TANGERINE,small,FRUITS
ORANGE,small,FRUITS
CANTALOUPE,small,FRUITS
AVOCADO,small,FRUITS
PAPAYA,small,FRUITS
NAILS,small,TOOLS
PUNCH,small,TOOLS
SANDER,small,TOOLS
ROUTER,small,TOOLS
HOUSTON,large,CITIES
HELSINKI,large,CITIES
LONDON,large,CITIES
BOSTON,large,CITIES
DETROIT,large,CITIES
CLEVELAND,large,CITIES
PITTSBURGH,large,CITIES
DENVER,large,CITIES
MOSCOW,large,CITIES
ATLANTA,large,CITIES
CAIRO,large,CITIES
MADRID,large,CITIES
MEMPHIS,large,CITIES
SHANGHAI,large,CITIES
COPENHAGEN,large,CITIES
NAPLES,large,CITIES
BRUSSELS,large,CITIES
VENICE,large,CITIES
BASSOON,large,INSTRUMENTS
BUGLE,large,INSTRUMENTS
EBONY,large,TREES
WALNUT,large,TREES
CHESTNUT,large,TREES
SUMAC,large,TREES
ELDER,large,TREES
SEQUOIA,large,TREES
CYPRESS,large,TREES
HEMLOCK,large,TREES
SASSAFRAS,large,TREES
ASPEN,large,TREES
BALSAM,large,TREES
SOCKS,small,CLOTHING
SHOES,small,CLOTHING
SKIRT,small,CLOTHING
SHORTS,small,CLOTHING
STOCKINGS,small,CLOTHING
BLAZER,small,CLOTHING
GOWN,small,CLOTHING
PANTIES,small,CLOTHING
PAJAMAS,small,CLOTHING
RUSSIA,large,COUNTRIES
CANADA,large,COUNTRIES
MEXICO,large,COUNTRIES
SWEDEN,large,COUNTRIES
BRAZIL,large,COUNTRIES
IRELAND,large,COUNTRIES
NORWAY,large,COUNTRIES
INDIA,large,COUNTRIES
ARGENTINA,large,COUNTRIES
DENMARK,large,COUNTRIES
GREECE,large,COUNTRIES
ISRAEL,large,COUNTRIES
AUSTRIA,large,COUNTRIES
SCOTLAND,large,COUNTRIES
BELGIUM,large,COUNTRIES
PORTUGAL,large,COUNTRIES
FINLAND,large,COUNTRIES
PAKISTAN,large,COUNTRIES
VENEZUELA,large,COUNTRIES
ORCHID,small,FLOWERS
PANSY,small,FLOWERS
GARDENIA,small,FLOWERS
DAFFODIL,small,FLOWERS
DANDELION,small,FLOWERS
LILAC,small,FLOWERS
GERANIUM,small,FLOWERS
PEONY,small,FLOWERS
CHRYSANTHEMUM,small,FLOWERS
EDELWEISS,small,FLOWERS
JONQUIL,small,FLOWERS
DELPHINIUM,small,FLOWERS
MARIGOLD,small,FLOWERS
MAGNOLIA,small,FLOWERS
PRIMROSE,small,FLOWERS
POINSETTIA,small,FLOWERS
CROCUS,small,FLOWERS
FORSYTHIA,small,FLOWERS
CAMEL,large,MAMMALS
FLY,small,INSECTS
SPIDER,small,INSECTS
LOCUST,small,INSECTS
CRICKET,small,INSECTS
COCKROACH,small,INSECTS
CATERPILLAR,small,INSECTS
CENTIPEDE,small,INSECTS
APHID,small,INSECTS
TARANTULA,small,INSECTS
KATYDID,small,INSECTS
WEEVIL,small,INSECTS
MAGGOT,small,INSECTS
INDIANA,large,STATES
ILLINOIS,large,STATES
MARYLAND,large,STATES
VIRGINIA,large,STATES
KENTUCKY,large,STATES
CONNECTICUT,large,STATES
ARKANSAS,large,STATES
COLORADO,large,STATES
DELAWARE,large,STATES
OREGON,large,STATES
WYOMING,large,STATES
OKLAHOMA,large,STATES
MISSOURI,large,STATES
ALABAMA,large,STATES
NEBRASKA,large,STATES
GEORGIA,large,STATES
PARSNIP,small,VEGETABLES
ASPARAGUS,small,VEGETABLES
CABBAGE,small,VEGETABLES
RADISH,small,VEGETABLES
CUCUMBER,small,VEGETABLES
RHUBARB,small,VEGETABLES
SHALLOTS,small,VEGETABLES
SPROUTS,small,VEGETABLES
