WORD,LENGTH,SIZE,CATEGORY
APPLE,5,small,FRUITS
TANGELO,7,small,FRUITS
PEAR,4,small,FRUITS
BANANA,6,small,FRUITS
PEACH,5,small,FRUITS
GRAPE,5,small,FRUITS
CHERRY,6,small,FRUITS
PLUM,4,small,FRUITS
GRAPEFRUIT,10,small,FRUITS
LEMON,5,small,FRUITS
TANGERINE,9,small,FRUITS
APRICOT,7,small,FRUITS
PINEAPPLE,9,small,FRUITS
LIME,4,small,FRUITS
STRAWBERRY,10,small,FRUITS
BLACKBERRY,10,small,FRUITS
WATERMELON,10,large,FRUITS
PRUNES,6,small,FRUITS
CANTALOUPE,10,small,FRUITS
RASPBERRY,9,small,FRUITS
POMEGRANATE,11,small,FRUITS
BLUEBERRY,9,small,FRUITS
MANGO,5,small,FRUITS
BOYSENBERRY,11,small,FRUITS
FIG,3,small,FRUITS
RAISIN,6,small,FRUITS
NECTARINE,9,small,FRUITS
MELON,5,small,FRUITS
KUMQUAT,7,small,FRUITS
PAPAYA,6,small,FRUITS
HONEYDEW,8,small,FRUITS
