WORD,LENGTH,SIZE,CATEGORY
HAMMER,6,small,TOOLS
SAW,3,small,TOOLS
NAILS,5,small,TOOLS
LEVEL,5,small,TOOLS
CHISEL,6,small,TOOLS
RULER,5,small,TOOLS
WRENCH,6,small,TOOLS
PLIERS,6,small,TOOLS
DRILL,5,small,TOOLS
SCREWS,6,small,TOOLS
PUNCH,5,small,TOOLS
FILE,4,small,TOOLS
BOLTS,5,small,TOOLS
PROTRACTOR,10,small,TOOLS
NUTS,4,small,TOOLS
SANDER,6,small,TOOLS
MALLET,6,small,TOOLS
PLUMB,5,small,TOOLS
WEDGE,5,small,TOOLS
AXE,3,small,TOOLS
VISE,4,small,TOOLS
CLAMP,5,small,TOOLS
CRANK,5,small,TOOLS
WASHER,6,small,TOOLS
HATCHET,7,small,TOOLS
TORCH,5,small,TOOLS
WIRE,4,small,TOOLS
GLUE,4,small,TOOLS
RASP,4,small,TOOLS
ROUTER,6,small,TOOLS
