WORD,LENGTH,SIZE,CATEGORY
ROSE,4,small,FLOWERS
TULIP,5,small,FLOWERS
CARNATION,9,small,FLOWERS
DAISY,5,small,FLOWERS
DAHLIA,6,small,FLOWERS
ORCHID,6,small,FLOWERS
LILY,4,small,FLOWERS
PANSY,5,small,FLOWERS
PETUNIA,7,small,FLOWERS
GARDENIA,8,small,FLOWERS
DAFFODIL,8,small,FLOWERS
DANDELION,9,small,FLOWERS
NARCISSUS,9,small,FLOWERS
LILAC,5,small,FLOWERS
GERANIUM,8,small,FLOWERS
PEONY,5,small,FLOWERS
SUNFLOWER,9,small,FLOWERS
AZALIA,6,small,FLOWERS
GLADIOLA,8,small,FLOWERS
POPPY,5,small,FLOWERS
ZINNIA,6,small,FLOWERS
JONQUIL,7,small,FLOWERS
BUTTERCUP,9,small,FLOWERS
MARIGOLD,8,small,FLOWERS
MAGNOLIA,8,small,FLOWERS
ASTER,5,small,FLOWERS
HYACINTH,8,small,FLOWERS
CAMELLIA,8,small,FLOWERS
BEGONIA,7,small,FLOWERS
POINSETTIA,10,small,FLOWERS
CROCUS,6,small,FLOWERS
FORSYTHIA,9,small,FLOWERS
LOG,3,small,FLOWERS
