WORD,SIZE,CATEGORY
WINDOW,large,BUILDING RELATED
DOOR,large,BUILDING RELATED
ROOF,large,BUILDING RELATED
WALL,large,BUILDING RELATED
FLOOR,large,BUILDING RELATED
CARPET,large,BUILDING RELATED
HALL,large,BUILDING RELATED
CORRIDOR,large,BUILDING RELATED
ELEVATOR,large,BUILDING RELATED
FURNACE,large,BUILDING RELATED
CHIMNEY,large,BUILDING RELATED
FOUNDATION,large,BUILDING RELATED
STEP,large,BUILDING RELATED
BARN,large,BUILDING RELATED
BED,large,BUILDING RELATED
BATH,large,BUILDING RELATED
CLOSET,large,BUILDING RELATED
AWNING,large,BUILDING RELATED
FOYER,large,BUILDING RELATED
LOBBY,large,BUILDING RELATED
KITCHEN,large,BUILDING RELATED
DEN,large,BUILDING RELATED
SIDING,large,BUILDING RELATED
GAZEBO,large,BUILDING RELATED
ALCOVE,large,BUILDING RELATED
PORCH,large,BUILDING RELATED
