WORD,LENGTH,SIZE,CATEGORY
KNIFE,5,small,KITCHEN-RELATED
SPOON,5,small,KITCHEN-RELATED
FORK,4,small,KITCHEN-RELATED
PAN,3,large,KITCHEN-RELATED
POT,3,large,KITCHEN-RELATED
SPATULA,7,small,KITCHEN-RELATED
STOVE,5,large,KITCHEN-RELATED
BOWL,4,small,KITCHEN-RELATED
MIXER,5,large,KITCHEN-RELATED
CUP,3,small,KITCHEN-RELATED
BEATER,6,small,KITCHEN-RELATED
PLATE,5,small,KITCHEN-RELATED
SKILLET,7,large,KITCHEN-RELATED
REFRIGERATOR,12,large,KITCHEN-RELATED
FRYPAN,6,large,KITCHEN-RELATED
GLASS,5,small,KITCHEN-RELATED
TOASTER,7,large,KITCHEN-RELATED
STRAINER,8,small,KITCHEN-RELATED
LADLE,5,small,KITCHEN-RELATED
OVEN,4,large,KITCHEN-RELATED
SAUCER,6,small,KITCHEN-RELATED
BLENDER,7,large,KITCHEN-RELATED
SIFTER,6,small,KITCHEN-RELATED
GRIDDLE,7,small,KITCHEN-RELATED
COLANDER,8,small,KITCHEN-RELATED
TONGS,5,small,KITCHEN-RELATED
BROILER,7,large,KITCHEN-RELATED
GRATER,6,small,KITCHEN-RELATED
KETTLE,6,large,KITCHEN-RELATED
ROLLINGPIN,10,small,KITCHEN-RELATED
PERCOLATOR,10,large,KITCHEN-RELATED
