WORD,LENGTH,SIZE,CATEGORY
OAK,3,large,TREES
MAPLE,5,large,TREES
PINE,4,large,TREES
ELM,3,large,TREES
BIRCH,5,large,TREES
PALM,4,large,TREES
SPRUCE,6,large,TREES
EBONY,5,large,TREES
WALNUT,6,large,TREES
FIR,3,large,TREES
HICKORY,7,large,TREES
SYCAMORE,8,large,TREES
ASH,3,large,TREES
POPLAR,6,large,TREES
WILLOW,6,large,TREES
CHESTNUT,8,large,TREES
CEDAR,5,large,TREES
EVERGREEN,9,large,TREES
SUMAC,5,large,TREES
ELDER,5,large,TREES
MAGNOLIA,8,large,TREES
TEAK,4,large,TREES
COTTONWOOD,10,large,TREES
GINKO,5,large,TREES
SEQUOIA,7,large,TREES
CYPRESS,7,large,TREES
EUCALYPTUS,10,large,TREES
HEMLOCK,7,large,TREES
SASSAFRAS,9,large,TREES
ASPEN,5,large,TREES
BALSAM,6,large,TREES
COCONUT,7,large,TREES
