WORD,LENGTH,SIZE,CATEGORY
LEG,3,large,BODY PARTS
ARMS,4,large,BODY PARTS
HEAD,4,small,BODY PARTS
PANCREAS,8,small,BODY PARTS
FOOT,4,small,BODY PARTS
FINGER,6,small,BODY PARTS
EAR,3,small,BODY PARTS
HAND,4,small,BODY PARTS
KNUCKLE,7,small,BODY PARTS
KIDNEY,6,small,BODY PARTS
MOUTH,5,small,BODY PARTS
STOMACH,7,small,BODY PARTS
NECK,4,small,BODY PARTS
HEART,5,small,BODY PARTS
KNEE,4,small,BODY PARTS
CHEST,5,large,BODY PARTS
LIVER,5,small,BODY PARTS
BRAIN,5,small,BODY PARTS
LUNGS,5,small,BODY PARTS
TOOTH,5,small,BODY PARTS
ELBOW,5,small,BODY PARTS
SHOULDER,8,small,BODY PARTS
FACE,4,small,BODY PARTS
TONGUE,6,small,BODY PARTS
ANKLE,5,small,BODY PARTS
THROAT,6,small,BODY PARTS
PELVIS,6,large,BODY PARTS
RIB,3,small,BODY PARTS
WRIST,5,small,BODY PARTS
LIP,3,small,BODY PARTS
INTESTINE,9,small,BODY PARTS
HIP,3,small,BODY PARTS
