Frame,Onset time,Narrative details (external events),Narrative details (internal state),Characters on screen,Music presence,Speech,Character speaking,Indoor/outdoor,Setting,Scene name
0,0.0,Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims,Alfred Paper Boy is surprised and angry.,Alfred Paper Boy,no,What the?,Alfred Paper Boy,outdoor,convenience store parking lot,Parking lot confrontation
49,1.96,Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car. Alfred Paper Boy yells after them.,Alfred Paper Boy is surprised and angry.,"Alfred Paper Boy, Darius, Man, Woman",no,Really man?! Hey man! Hey!,Alfred Paper Boy,outdoor,convenience store parking lot,Parking lot confrontation
125,5.0,Alfred Paper Boy steps out of the car. Earn yells his name.,Alfred Paper Boy is angry. Earn is concerned.,Alfred Paper Boy,no,Alfred!,Earn,outdoor,convenience store parking lot,Parking lot confrontation
143,5.72,"Alfred Paper Boy slams the car door and yells after the man and woman, asking for money for his broken mirror.",Alfred Paper Boy is angry.,"Alfred Paper Boy, Earn",no,"Hey man, I'm gonna need some cash for this mirror, man!""",Alfred Paper Boy,outdoor,Convenience store parking lot,Parking lot confrontation
195,7.8,"Earn, sitting in the car, calls after Alfred again.",Earn is worried.,Earn,no,Alfred!,Earn,outdoor,Convenience store parking lot,Parking lot confrontation
205,8.2,Alfred Paper Boy walks after the man and woman and confronts them,Alfred Paper Boy is angry,Alfred Paper Boy,no,Hey!,Alfred Paper Boy,outdoor,convenience store parking lot,Parking lot confrontation
247,9.88,Alfred Paper Boy calls out after the man and woman. Earn gets out of the car and runs after him.,,Earn,no,Hello? Hello?,Alfred Paper Boy,outdoor,convenience store parking lot,Parking lot confrontation
275,11.0,Earn runs after Alfred Paper Boy and tries to get his attention. Alfred Paper Boy yells at the man and woman.,Alfred Paper Boy is angry. Earn is trying to calm him down.,Earn,no,"Hey, hey ""Man I know you hear me""","Earn, Alfred Paper Boy",outdoor,Convenience store parking lot,Parking lot confrontation
296,11.84,"Alfred Paper Boy, Earn, and Darius catch up to the man and woman. Alfred Paper Boy shouts at the man and woman.",Alfred Paper Boy is angry.,"Alfred Paper Boy, Earn, Darius, Man, Woman",no,"talking to you man, I'm speaking English!",Alfred Paper Boy,outdoor,convenience store parking lot,Parking lot confrontation
331,13.24,Earn touches Alfred Paper Boy's chest and asks everyone to stay relaxed.,Earn is trying to calm everyone down and diffuse the situation.,"Alfred Paper Boy, Earn, Darius, Man, Woman",no,"Hey alright, cool it. Let's, let's, let's just keep it cool, okay guys?",Earn,outdoor,Convenience store parking lot,Parking lot confrontation
395,15.8,The man threatens Alfred Paper Boy.,The situation is escalating.,"Alfred Paper Boy, Earn, Darius, Man, Woman",no,"Nigga if you don't get out of my face...""",Man,outdoor,Convenience store parking lot,Parking lot confrontation
433,17.32,A voice in the background shouts.,,"Alfred Paper Boy, Earn, Darius, Man, Woman",no,Worldstar!,Background,outdoor,Convenience store parking lot,Parking lot confrontation
456,18.24,Earn tells the person who shouted to stop.,Earn is trying to diffuse the situation.,"Alfred Paper Boy, Earn, Man",no,No don't do that to us.,Earn,outdoor,convenience store parking lot,Parking lot confrontation
484,19.36,Alfred Paper Boy asks again for money for the broken mirror.,,"Alfred Paper Boy, Earn, Man",no,"No, no, no, no, no, I think I'm being more than fair, calmly asking for compensation, so let's go bruh.",Alfred Paper Boy,outdoor,Convenience store parking lot,Parking lot confrontation
580,23.2,The man refuses to give Alfred Paper Boy Money.,,"Man, Woman",no,"No, y'all staying broke tonight.",Man,outdoor,convenience store parking lot,Parking lot confrontation
