"Timestamp","Subject ID","How engaging did you find the episode?","How easy/difficult was it to follow the episode?","How well do you feel you recalled the events of the episode?","How well do you feel you learned the characters' names over the course of the episode?","How tired do you feel?"
"2018/10/12 2:12:00 PM EST","MD-101218-A-01","Very engaging","Somewhat easy","Very well","Very well","A little tired"
"2018/10/12 3:09:55 PM EST","MD-101218-B-01","A little engaging","Somewhat easy","Very well","Somewhat well","A little tired"
"2018/10/12 3:19:30 PM EST","MD-101218-A-02","Very engaging","Somewhat easy","Somewhat well","Somewhat well","A little tired"
"2018/10/12 4:09:28 PM EST","MD-101218-B-02","Very engaging","Very easy","Very well","Somewhat well","A little alert"
"2018/10/12 4:18:34 PM EST","MD-101218-A-03","Very engaging","Somewhat easy","Very well","Somewhat well","Very alert"
"2018/10/12 5:16:01 PM EST","MD-101218-B-03","A little engaging","Somewhat easy","Neutral","Neutral","Neutral"
"2018/10/12 5:22:15 PM EST","MD-101218-A-04","Very engaging","Neutral","Somewhat well","Not very well","A little tired"
"2018/10/12 7:00:57 PM EST","MD-101218-B-04","Very engaging","Very easy","Very well","Somewhat well","Neutral"
"2018/10/13 2:15:08 PM EST","MD-101318-A-01","A little engaging","Neutral","Neutral","Neutral","Neutral"
"2018/10/13 2:30:59 PM EST","MD-101318-B-01","Very engaging","Somewhat easy","Somewhat well","Somewhat well","Very alert"
"2018/10/13 3:24:09 PM EST","MD-101318-A-02","Very engaging","Somewhat easy","Somewhat well","Somewhat well","A little tired"
"2018/10/13 3:32:34 PM EST","MD-101318-B-02","Very engaging","Somewhat easy","Somewhat well","Not very well","A little tired"
"2018/10/13 4:21:38 PM EST","MD-101318-A-03","A little engaging","Somewhat easy","Somewhat well","Not very well","Neutral"
"2018/10/13 4:27:32 PM EST","MD-101318-B-03","Very engaging","Somewhat easy","Very well","Somewhat well","Neutral"
"2018/10/13 5:25:00 PM EST","MD-101318-A-04","Very engaging","Somewhat easy","Neutral","Somewhat well","Neutral"
"2018/10/13 5:34:42 PM EST","MD-101318-B-04","A little engaging","Neutral","Somewhat well","Not very well","Neutral"
"2018/10/13 6:37:48 PM EST","MD-101318-B-05","A little engaging","Somewhat easy","Very well","Somewhat well","Neutral"
"2018/10/13 7:27:59 PM EST","MD-101318-A-06","Very engaging","Somewhat easy","Somewhat well","Very well","Neutral"
"2018/10/13 7:49:14 PM EST","MD-101318-B-06","Very engaging","Somewhat easy","Somewhat well","Neutral","A little tired"
"2018/10/16 2:30:25 PM EST","MD-101618-A-01","Very engaging","Somewhat easy","Very well","Somewhat well","A little alert"
"2018/10/16 3:30:57 PM EST","MD-101618-B-01","Very engaging","Somewhat difficult","Somewhat well","Somewhat well","A little tired"
"2018/10/16 3:36:10 PM EST","MD-101618-A-02","Very engaging","Very easy","Very well","Somewhat well","A little alert"
"2018/10/16 4:35:59 PM EST","MD-101618-B-02","A little engaging","Somewhat easy","Somewhat well","Neutral","A little tired"
"2018/10/16 4:39:31 PM EST","MD-101618-A-03","Very engaging","Somewhat easy","Neutral","Somewhat well","Very alert"
"2018/10/16 5:25:59 PM EST","MD-101618-B-03","Very engaging","Neutral","Not very well","Not well at all","A little tired"
"2018/10/16 6:40:11 PM EST","MD-101618-A-04","A little engaging","Somewhat easy","Somewhat well","Somewhat well","Neutral"
"2018/10/16 6:45:13 PM EST","MD-101618-B-04","Very engaging","Very easy","Very well","Very well","Neutral"
"2018/10/18 10:55:42 AM EST","MD-101218-A-03","Very engaging","Very easy","Somewhat well","Somewhat well","A little alert"
"2018/10/18 1:07:14 PM EST","MD-101218-B-01","A little boring","Very easy","Neutral","Not very well","A little tired"
"2018/10/18 1:16:00 PM EST","MD-101218-A-02","Very engaging","Very easy","Somewhat well","Not very well","A little tired"
"2018/10/18 3:55:17 PM EST","MD-101218-A-01","A little engaging","Very easy","Somewhat well","Very well","A little tired"
"2018/10/18 7:25:59 PM EST","MD-101218-B-03","A little engaging","Somewhat easy","Neutral","Somewhat well","Neutral"
"2018/10/19 11:27:52 AM EST","MD-101318-B-05","Very engaging","Somewhat easy","Neutral","Somewhat well","A little tired"
"2018/10/19 11:35:04 AM EST","MD-101318-A-06","Very engaging","Somewhat easy","Somewhat well","Somewhat well","A little alert"
"2018/10/19 2:16:24 PM EST","MD-101218-B-02","A little engaging","Somewhat difficult","Somewhat well","Neutral","A little tired"
