Feature,../../data/brains/away_from_mni.nii.gz
001,-0.0129
01,-0.0231
05,-0.0114
10,-0.0435
100,-0.0228
11,-0.004
12,-0.0057
12 healthy,0.0172
13,-0.0301
14,-0.0478
14 healthy,-0.0046
15,0.0374
15 healthy,0.0226
16,-0.0535
16 healthy,-0.0326
17,-0.0293
18,-0.0385
18 healthy,0.0178
19,-0.049
20,-0.0334
20 healthy,-0.0295
200,0.0145
2014,-0.0091
21,0.002
22,-0.0089
23,-0.0147
24,-0.015
25,-0.0447
26,-0.0
27,-0.0239
28,0.0116
29,-0.0306
30,0.0129
31,-0.0241
32,-0.0298
33,-0.0136
34,-0.0202
35,-0.0231
36,0.0223
37,-0.007
38,-0.0435
39,-0.007
3d,-0.0428
3t,-0.002
40,-0.0413
41,0.0113
42,-0.0054
43,0.0051
44,0.0811
45,0.0754
46,-0.0344
47,0.0209
48,-0.0004
49,-0.0146
50,0.0184
60,0.0009
70,-0.0117
75,-0.0134
80,-0.0108
90,-0.0025
aberrant,-0.0339
abilities,0.0044
ability,-0.0472
able,0.0021
abnormal,-0.0282
abnormalities,-0.0376
abnormality,0.0042
absence,0.014
absent,-0.0283
abstract,-0.003
abuse,-0.0491
acc,-0.0589
access,0.0286
accompanied,0.0474
accordance,-0.0347
according,-0.015
accordingly,0.0379
account,0.0209
accounted,-0.0483
accounts,0.0259
accumbens,-0.034
accuracy,-0.0351
accurate,-0.0189
accurately,-0.0102
achieve,0.0197
achieved,-0.0333
acoustic,0.1517
acquired,0.0339
acquisition,0.094
act,0.0157
action,-0.0116
action observation,0.0071
actions,0.0172
activate,0.0184
activates,0.0403
activations,0.0219
active,0.0298
actively,-0.0092
activities,-0.0219
acts,0.0192
actual,0.007
actually,-0.0055
acute,-0.0075
ad,-0.046
adaptation,0.0029
adapted,-0.0107
adaptive,-0.0156
add,-0.032
addiction,-0.0604
addition,-0.0274
additional,0.017
additionally,0.0104
addressed,0.0006
adhd,-0.0357
adjacent,0.0151
administered,-0.0162
administration,-0.0141
adolescence,-0.0596
adolescent,-0.0397
adolescents,-0.0513
adopted,0.0297
adult,0.0027
adulthood,-0.0337
adults,-0.074
advance,-0.021
advanced,-0.0069
advances,0.0406
advantage,0.0671
affect,-0.0032
affected,-0.0117
affecting,0.0392
affective,0.0594
affects,-0.0154
age,-0.0423
age controls,0.0303
age gender,-0.0484
age groups,-0.0477
age healthy,0.0332
age sex,-0.0163
aged,-0.0134
agent,-0.0065
ages,-0.0065
aging,-0.0794
agreement,-0.0256
aim,0.0043
aimed,-0.033
aims,-0.0006
al,-0.0059
alcohol,-0.0258
