Feature,../../data/brains/braindiff_d_mni.nii.gz
001,0.0203
01,0.0441
05,0.0138
10,0.037
100,0.0144
11,0.0214
12,-0.0066
12 healthy,-0.0358
13,0.0084
14,0.0062
14 healthy,0.012
15,-0.028
15 healthy,0.0014
16,0.0315
16 healthy,0.0202
17,0.0526
18,0.0407
18 healthy,-0.029
19,0.0198
20,0.0281
20 healthy,0.0229
200,-0.0055
2014,0.0351
21,0.0154
22,0.0576
23,0.0275
24,0.0368
25,0.0261
26,0.0493
27,0.0437
28,0.0276
29,0.0431
30,0.0255
31,0.0428
32,0.0282
33,0.0237
34,0.019
35,0.0063
36,-0.0175
37,-0.0278
38,0.0236
39,0.0341
3d,-0.0321
3t,-0.0099
40,-0.0039
41,0.0458
42,0.0098
43,0.026
44,-0.0726
45,-0.0819
46,-0.0286
47,0.0074
48,0.0273
49,0.0418
50,0.0083
60,-0.0131
70,0.0122
75,0.017
80,-0.0012
90,0.0463
aberrant,0.0972
abilities,-0.0413
ability,0.044
able,0.0005
abnormal,0.0838
abnormalities,0.0642
abnormality,-0.0032
absence,-0.0165
absent,-0.04
abstract,-0.021
abuse,0.0561
acc,0.022
access,0.0008
accompanied,0.0297
accordance,-0.0092
according,-0.0343
accordingly,0.0236
account,-0.0297
accounted,-0.0451
accounts,-0.0019
accumbens,0.0176
accuracy,0.0044
accurate,0.0009
accurately,0.0225
achieve,0.0004
achieved,0.0256
acoustic,0.0186
acquired,0.0137
acquisition,-0.0437
act,-0.0021
action,-0.0242
action observation,-0.0496
actions,-0.0214
activate,-0.0645
activates,-0.0456
activations,-0.0876
active,-0.0122
actively,-0.005
activities,0.0186
acts,-0.0054
actual,-0.0486
actually,-0.0299
acute,0.0101
ad,0.0616
adaptation,-0.0617
adapted,0.0135
adaptive,0.0539
add,-0.0096
addiction,0.0478
addition,-0.0253
additional,-0.0534
additionally,0.0393
addressed,0.026
adhd,0.0554
adjacent,-0.0255
administered,-0.0562
administration,-0.0327
adolescence,0.0385
adolescent,0.0668
adolescents,0.0755
adopted,-0.0227
adult,0.044
adulthood,0.0468
adults,0.0349
advance,-0.0098
