Feature,../../data/brains/del_imm_mni.nii.gz
001,0.0569
01,0.0345
05,0.0332
10,0.032
100,-0.0025
11,0.0073
12,-0.0158
12 healthy,-0.0449
13,0.0261
14,0.0097
14 healthy,-0.0189
15,-0.0175
15 healthy,0.014
16,0.0348
16 healthy,0.0297
17,0.0501
18,0.0722
18 healthy,-0.0201
19,0.0889
20,0.0588
20 healthy,0.043
200,-0.0104
2014,0.0112
21,0.0647
22,0.064
23,0.0148
24,0.0325
25,0.0369
26,0.0279
27,0.0155
28,0.0311
29,0.0495
30,0.0041
31,0.0248
32,0.0366
33,0.0389
34,0.0501
35,0.044
36,-0.0107
37,0.0011
38,0.0691
39,0.0773
3d,-0.0679
3t,0.0061
40,0.0032
41,0.0695
42,0.0451
43,0.0096
44,-0.031
45,-0.0247
46,-0.0023
47,0.0654
48,0.0414
49,0.0154
50,0.0338
60,0.0023
70,0.0352
75,0.0166
80,0.0038
90,0.0023
aberrant,0.0745
abilities,-0.0169
ability,0.0833
able,-0.0463
abnormal,0.0915
abnormalities,0.1044
abnormality,0.0308
absence,-0.0337
absent,-0.0325
abstract,0.0208
abuse,0.0486
acc,0.0057
access,0.0336
accompanied,0.0205
accordance,-0.0232
according,-0.0447
accordingly,-0.0338
account,-0.0577
accounted,-0.0107
accounts,-0.0005
accumbens,0.0581
accuracy,0.014
accurate,-0.0178
accurately,0.0198
achieve,-0.0248
achieved,0.0058
acoustic,0.0105
acquired,0.0153
acquisition,-0.054
act,-0.0221
action,-0.1666
action observation,-0.1437
actions,-0.1491
activate,-0.0785
activates,-0.0678
activations,-0.1144
active,-0.1175
actively,-0.028
activities,0.0063
acts,-0.0586
actual,-0.1261
actually,-0.0557
acute,0.0062
ad,0.1152
adaptation,-0.04
adapted,0.0163
adaptive,0.0325
add,-0.0209
addiction,0.0827
addition,-0.0203
additional,-0.088
additionally,0.0148
addressed,0.0292
adhd,0.0643
adjacent,-0.0877
administered,0.004
administration,0.0159
adolescence,0.0789
adolescent,0.0895
adolescents,0.1016
adopted,0.0226
adult,0.0768
adulthood,0.1072
adults,0.1192
advance,-0.0371
advanced,-0.048
advances,-0.0142
advantage,-0.048
affect,0.0519
affected,-0.0033
affecting,-0.0479
affective,0.0502
affects,0.0506
age,0.1486
age controls,-0.0145
age gender,0.0901
age groups,0.0286
age healthy,-0.0429
age sex,0.0293
aged,0.0767
agent,-0.01
ages,0.0886
aging,0.1102
agreement,-0.058
aim,-0.0075
aimed,0.0447
aims,0.0021
al,0.0142
alcohol,0.0418
alff,0.0334
algorithm,-0.0002
allele,0.1065
allocation,0.0065
allow,-0.0116
allowed,-0.0602
allowing,-0.012
allows,-0.0075
alpha,0.0068
alter,0.0077
alteration,0.0543
alterations,0.0988
altered,0.0731
alternating,-0.0389
alternative,0.0171
alters,0.0262
alzheimer,0.1235
alzheimer disease,0.1257
ambiguous,0.0135
amnestic,0.1043
amplitude,-0.0194
amplitude low,0.0567
amplitudes,-0.0745
amygdala,0.0882
amygdala anterior,0.0396
amygdala hippocampus,0.0725
amygdala insula,0.0447
amygdala response,0.0688
amygdala responses,0.0249
analysed,0.0109
analyses,0.0621
analyze,-0.0298
analyzed,0.0067
analyzed using,0.0062
analyzing,-0.0132
anatomical,-0.0074
anatomically,0.0409
anatomy,-0.0776
anger,0.048
angry,0.0259
angular,0.0984
angular gyrus,0.1066
animal,0.0552
animals,0.0046
anisotropy,0.058
anisotropy fa,0.0524
anterior,0.048
anterior cingulate,0.0572
anterior hippocampus,0.0962
anterior insula,-0.0574
anterior insular,-0.1113
anterior intraparietal,-0.2077
anterior medial,0.1501
anterior posterior,0.0925
anterior prefrontal,0.0021
anterior superior,-0.0013
anterior temporal,0.048
anti,0.0318
anticipation,-0.0113
anticipatory,-0.0325
anxiety,0.072
anxiety disorders,0.0115
apart,-0.0168
aphasia,-0.0499
apparent,0.0005
appear,-0.0088
appeared,0.0369
appears,-0.0101
application,-0.0359
applied,-0.0967
apply,0.0121
applying,-0.0761
appraisal,0.0492
approach,0.0402
approaches,0.0586
appropriate,-0.0498
approximately,-0.007
architecture,0.1019
argue,-0.0686
arise,0.0403
arithmetic,-0.0469
arm,-0.1416
arousal,0.0183
arterial,0.0122
arterial spin,0.0084
articulatory,-0.0959
asd,0.0531
asked,-0.001
aspect,0.024
aspects,0.0264
assess,-0.0195
assessed,0.0841
assessed using,-0.0107
assessing,0.0219
assessment,0.0422
assessments,0.0762
assigned,0.0364
association,0.0655
associations,0.1276
associative,0.042
assume,-0.0433
assumed,0.0087
assumption,-0.0044
asymmetry,-0.0198
atrophy,0.0942
attempt,-0.0021
attempted,-0.0084
attend,-0.0275
attended,-0.0547
attending,-0.0182
attention,-0.0574
attention deficit,0.056
attention network,-0.0284
attention task,-0.0524
attentional,-0.0799
attentional control,0.0091
attenuated,0.0123
attenuation,-0.0475
attributed,0.0189
attributes,-0.0327
attribution,0.0452
atypical,0.0339
audiovisual,-0.0103
auditory,-0.0395
auditory cortex,-0.0216
auditory stimuli,-0.0115
auditory visual,-0.003
autism,0.0842
autism spectrum,0.056
autobiographical,0.2173
autobiographical memory,0.2014
automated,-0.0161
automatic,-0.0318
automatically,-0.0237
autonomic,-0.043
available,0.0245
average,-0.0115
aversive,0.0097
avoid,-0.0312
avoidance,0.0505
awareness,0.0118
away,-0.0003
axis,0.0404
ba,-0.0306
ba 44,-0.0221
background,0.1144
balance,0.0093
band,0.0222
bands,0.007
basal,-0.0611
basal ganglia,-0.0646
baseline,0.0325
bases,0.0447
basic,-0.0801
basis,-0.0041
bayesian,0.0187
beginning,0.026
behavior,0.0673
behavioral,0.0454
behavioral evidence,0.0156
behavioral level,-0.0014
behavioral measures,-0.0005
behavioral performance,-0.0388
behavioral responses,-0.033
behaviorally,0.0233
behaviors,0.1359
behaviour,0.0317
behavioural,-0.0083
belief,0.0872
beliefs,0.1331
believed,-0.0142
beneficial,0.0428
benefit,0.0476
benefits,0.0297
best,0.0069
beta,-0.0068
better,0.0246
better understanding,0.0172
bias,0.0398
biased,0.0209
biases,-0.0158
bilaterally,-0.1202
bilinguals,-0.0128
binding,0.0637
biological,0.0438
biomarker,0.0506
biomarkers,0.0599
bipolar,0.0869
bipolar disorder,0.0749
blind,0.0065
block,-0.0533
block design,-0.0262
blocked,-0.0652
blocks,-0.0366
blood,-0.0048
blood flow,-0.0079
blood oxygen,-0.0095
blood oxygenation,-0.0056
bodily,-0.0337
body,-0.1739
bold,-0.0581
bold response,-0.0502
bold responses,-0.0289
bold signal,-0.0003
bold signals,-0.0287
brains,0.0213
brainstem,0.0011
brief,0.0426
broad,0.0298
broader,0.0332
broca,-0.0345
brodmann,-0.0738
brodmann ba,-0.0608
button,-0.0326
calculated,0.0071
calculation,-0.0744
called,-0.0239
callosum,0.0156
candidate,-0.0329
canonical,0.0377
capacity,0.0117
capture,0.0128
carried,-0.0818
carriers,0.1011
case,-0.049
cases,0.0496
categorical,0.0023
categories,0.0155
categorization,-0.0164
category,0.0062
caudal,-0.1023
caudate,0.0626
caudate nucleus,0.0127
causal,-0.0664
causal modeling,-0.0757
causality,0.0491
cause,0.0414
caused,-0.0006
causes,0.0045
center,-0.0716
centered,0.0097
central,-0.04
central role,0.0266
cerebellar,-0.016
cerebellum,-0.0597
cerebral,-0.1011
cerebral blood,0.0125
cerebral cortex,-0.0502
certain,0.022
challenge,0.0467
challenges,-0.0001
challenging,0.0504
change,0.0084
changed,0.0064
changing,0.0238
character,0.0162
characteristic,-0.002
characteristics,0.0197
characterization,0.0055
characterize,0.0412
characterized,0.0585
characterizing,0.0216
characters,-0.0538
childhood,0.0641
children,0.0794
children adolescents,0.0588
chinese,-0.0565
choice,0.0445
choices,0.0731
choose,0.0604
chosen,0.0162
chronic,0.0194
chronic pain,-0.0155
cingulate,0.1216
cingulate cortex,0.1065
cingulate cortices,-0.0185
cingulate gyrus,0.0766
circuit,-0.0406
circuitry,0.0358
circuits,-0.0144
clarify,0.0462
class,-0.0436
classic,0.0352
classical,0.0256
classification,0.0486
classified,-0.013
clear,-0.0302
clearly,0.0027
clinical,0.0564
clinically,0.0511
clips,-0.0371
close,-0.0538
closed,-0.0145
closely,-0.0119
cluster,0.0059
clustering,-0.0015
clusters,-0.0076
code,-0.0005
coding,-0.1355
cognition,0.1406
cognitive,0.1451
cognitive control,0.0601
cognitive deficits,-0.0373
cognitive emotional,0.0635
cognitive function,0.0254
cognitive functions,0.0036
cognitive impairment,0.1079
cognitive neuroscience,0.0249
cognitive performance,0.068
cognitive processes,0.0675
cognitive task,0.038
cognitive tasks,0.0469
cognitively,0.0649
coherence,0.0121
coherent,-0.0084
cohort,0.0725
collected,0.0316
collectively,-0.0251
color,-0.0775
combination,-0.0459
combinations,-0.024
combined,-0.0148
combining,-0.0031
common,-0.0398
