Feature,../../data/brains/braindiff_i_mni.nii.gz
001,0.0219
01,0.0454
05,0.0163
10,0.0376
100,0.0145
11,0.0229
12,-0.0059
12 healthy,-0.036
13,0.0087
14,0.0058
14 healthy,0.0135
15,-0.0263
15 healthy,0.0034
16,0.0314
16 healthy,0.0199
17,0.0536
18,0.0419
18 healthy,-0.0277
19,0.0195
20,0.0296
20 healthy,0.0236
200,-0.0055
2014,0.0367
21,0.0177
22,0.0598
23,0.0294
24,0.0385
25,0.0269
26,0.0523
27,0.0451
28,0.0312
29,0.0448
30,0.0276
31,0.044
32,0.0288
33,0.0243
34,0.0201
35,0.006
36,-0.0156
37,-0.0302
38,0.0233
39,0.0358
3d,-0.0343
3t,-0.0094
40,-0.0058
41,0.0493
42,0.0107
43,0.0283
44,-0.0725
45,-0.0824
46,-0.0311
47,0.008
48,0.0288
49,0.042
50,0.0102
60,-0.0127
70,0.0128
75,0.0181
80,-0.0013
90,0.0478
aberrant,0.1008
abilities,-0.0419
ability,0.0426
able,-0.0011
abnormal,0.0879
abnormalities,0.0678
abnormality,-0.001
absence,-0.0161
absent,-0.0427
abstract,-0.0228
abuse,0.0566
acc,0.0209
access,0.0006
accompanied,0.0326
accordance,-0.0103
according,-0.0362
accordingly,0.0261
account,-0.0293
accounted,-0.0486
accounts,-0.0011
accumbens,0.018
accuracy,0.0034
accurate,-0.0002
accurately,0.0228
achieve,0.0009
achieved,0.0253
acoustic,0.0237
acquired,0.0167
acquisition,-0.0411
act,-0.0017
action,-0.0295
action observation,-0.0538
actions,-0.0251
activate,-0.0676
activates,-0.046
activations,-0.0916
active,-0.0133
actively,-0.0064
activities,0.0176
acts,-0.0054
actual,-0.0504
actually,-0.032
acute,0.0119
ad,0.0642
adaptation,-0.0642
adapted,0.0132
adaptive,0.0546
add,-0.0111
addiction,0.0486
addition,-0.028
additional,-0.0558
additionally,0.0407
addressed,0.0263
adhd,0.0565
adjacent,-0.0271
administered,-0.0569
administration,-0.0322
adolescence,0.0396
adolescent,0.0688
adolescents,0.0778
adopted,-0.0222
adult,0.0459
adulthood,0.0485
adults,0.0342
advance,-0.0113
advanced,-0.0069
advances,-0.0043
advantage,-0.0279
affect,0.0113
affected,-0.007
affecting,-0.0205
affective,0.0369
affects,0.0421
age,0.0866
age controls,-0.0229
age gender,0.0789
age groups,0.0114
age healthy,-0.0151
age sex,0.0363
aged,0.0222
agent,0.0243
ages,0.0356
aging,0.0284
agreement,0.0006
aim,0.0185
aimed,0.0171
aims,0.0126
al,0.0246
alcohol,0.0327
alff,0.0658
algorithm,0.0423
allele,0.0504
allocation,-0.0087
allow,0.0183
allowed,-0.0289
allowing,-0.0045
allows,0.0215
alpha,0.0144
alter,0.023
alteration,0.033
alterations,0.0945
altered,0.0936
alternating,0.0068
alternative,0.0221
alters,0.0301
alzheimer,0.0439
alzheimer disease,0.0451
ambiguous,-0.0256
amnestic,0.0548
amplitude,0.0442
amplitude low,0.0854
amplitudes,-0.0029
amygdala,0.0162
amygdala anterior,-0.0091
amygdala hippocampus,0.0069
amygdala insula,0.0157
amygdala response,0.0154
amygdala responses,-0.0169
analysed,0.0381
analyses,0.0531
analyze,-0.0142
analyzed,0.0244
analyzed using,0.001
analyzing,-0.0212
anatomical,-0.0236
anatomically,0.0043
anatomy,-0.0251
anger,0.02
angry,-0.0124
angular,0.1064
angular gyrus,0.1028
animal,-0.0099
animals,-0.0335
anisotropy,0.0114
anisotropy fa,0.0069
anterior,0.0317
anterior cingulate,0.0471
anterior hippocampus,0.0065
anterior insula,-0.0332
anterior insular,-0.0621
anterior intraparietal,-0.0878
anterior medial,0.0709
anterior posterior,0.0834
anterior prefrontal,0.0084
anterior superior,0.0317
anterior temporal,-0.0196
anti,0.0622
anticipation,-0.0123
anticipatory,-0.0212
anxiety,0.0371
anxiety disorders,-0.0076
apart,-0.0168
aphasia,-0.0427
apparent,0.0006
appear,-0.0313
appeared,-0.0195
appears,-0.034
application,-0.0044
applied,-0.0073
apply,-0.0054
applying,-0.0361
appraisal,0.0493
approach,0.0604
approaches,0.0554
appropriate,-0.0253
approximately,-0.0014
architecture,0.0495
argue,-0.0413
arise,0.0233
arithmetic,-0.098
arm,-0.0049
arousal,-0.0022
arterial,0.0219
arterial spin,0.0252
articulatory,-0.0555
asd,0.0446
asked,-0.0179
aspect,0.0226
aspects,0.0489
assess,-0.0154
assessed,0.0777
assessed using,0.0184
assessing,0.0056
assessment,0.0079
assessments,0.034
assigned,0.0367
association,0.046
associations,0.0368
associative,-0.0264
assume,-0.0587
assumed,0.0445
assumption,-0.0049
asymmetry,-0.0232
atrophy,0.0291
attempt,-0.0066
attempted,0.0001
attend,-0.0248
attended,-0.0384
attending,-0.0089
attention,-0.0115
attention deficit,0.0606
attention network,0.0215
attention task,-0.0163
attentional,-0.0424
attentional control,0.0186
attenuated,-0.011
attenuation,-0.0084
attributed,0.0197
attributes,-0.0205
attribution,0.0689
atypical,0.0303
audiovisual,0.0104
auditory,0.0059
auditory cortex,0.019
auditory stimuli,-0.0109
auditory visual,0.003
autism,0.092
autism spectrum,0.0656
autobiographical,0.1244
autobiographical memory,0.1028
automated,0.0355
automatic,0.0002
automatically,-0.0135
autonomic,-0.0054
available,0.0356
average,-0.0071
aversive,-0.0237
avoid,-0.0039
avoidance,0.0144
awareness,0.0183
away,0.0682
axis,-0.0092
ba,-0.0468
ba 44,-0.0788
background,0.06
balance,0.0492
band,0.0537
bands,0.0516
basal,-0.0164
basal ganglia,-0.0135
baseline,0.0201
bases,0.0383
basic,-0.0217
basis,0.0203
bayesian,-0.0006
beginning,-0.0025
behavior,0.0558
behavioral,-0.0132
behavioral evidence,0.0248
behavioral level,-0.0074
behavioral measures,-0.0131
behavioral performance,-0.0302
behavioral responses,-0.0298
behaviorally,0.0041
behaviors,0.0916
behaviour,0.0433
behavioural,-0.0326
belief,0.1143
beliefs,0.1877
believed,-0.033
beneficial,0.0616
benefit,0.0292
benefits,0.0075
best,0.0062
beta,0.051
better,0.0106
better understanding,0.0093
bias,0.0053
biased,0.0123
biases,-0.0164
bilaterally,-0.0856
bilinguals,-0.0187
binding,-0.0083
biological,0.0452
biomarker,0.0387
biomarkers,0.058
bipolar,0.0556
bipolar disorder,0.0464
blind,-0.0048
block,-0.0192
block design,-0.0256
blocked,-0.06
blocks,-0.0271
blood,0.0226
blood flow,0.0151
blood oxygen,0.0301
blood oxygenation,-0.0101
bodily,-0.0193
body,-0.0866
bold,0.0094
bold response,0.0069
bold responses,0.0005
bold signal,0.0381
bold signals,0.01
brains,0.0183
brainstem,0.0043
brief,0.0359
broad,-0.0201
broader,0.0375
broca,-0.0734
brodmann,-0.036
brodmann ba,-0.04
button,-0.0007
calculated,0.0335
calculation,-0.1123
called,0.0161
callosum,0.0152
candidate,-0.0036
canonical,0.0162
capacity,0.0012
capture,0.0208
carried,-0.0441
carriers,0.0537
case,-0.0184
cases,0.0368
categorical,-0.0367
categories,-0.0417
categorization,-0.058
category,-0.0322
caudal,-0.0201
caudate,0.0183
caudate nucleus,-0.0034
causal,-0.0539
causal modeling,-0.0866
causality,0.0734
cause,0.0127
caused,0.0033
causes,0.0372
center,-0.0274
centered,-0.0081
central,0.0425
central role,0.0484
cerebellar,-0.0046
cerebellum,-0.0155
cerebral,-0.0035
cerebral blood,0.0249
cerebral cortex,-0.0107
certain,0.0204
challenge,0.0298
challenges,-0.0021
challenging,0.0189
change,-0.0031
changed,0.0245
changing,-0.0086
character,-0.0016
characteristic,0.0063
characteristics,0.0214
characterization,-0.0047
characterize,0.0677
characterized,0.0761
characterizing,0.0225
characters,-0.0747
childhood,0.0368
children,0.0209
children adolescents,0.0369
chinese,-0.0961
choice,0.02
choices,0.0417
choose,0.0136
chosen,0.0119
chronic,0.0434
chronic pain,-0.0017
cingulate,0.1171
cingulate cortex,0.1009
cingulate cortices,0.0077
cingulate gyrus,0.0824
circuit,0.0112
circuitry,0.0184
circuits,0.0243
clarify,0.0068
class,-0.025
classic,0.0188
classical,0.0201
classification,-0.0111
classified,-0.0239
clear,-0.0403
clearly,-0.0026
clinical,0.0693
clinically,0.0413
clips,0.0263
close,-0.0065
closed,0.0459
closely,-0.0028
cluster,0.0021
clustering,0.027
clusters,-0.0172
code,0.0115
coding,-0.0738
cognition,0.0908
cognitive,0.0655
cognitive control,0.0218
cognitive deficits,-0.0653
cognitive emotional,0.0591
cognitive function,-0.0272
cognitive functions,-0.0082
cognitive impairment,0.0178
cognitive neuroscience,0.0175
cognitive performance,0.0233
cognitive processes,0.0275
cognitive task,0.037
cognitive tasks,0.0164
cognitively,0.0324
coherence,0.0594
coherent,0.0337
cohort,0.0295
collected,0.0542
collectively,-0.0237
color,-0.0709
combination,-0.0346
combinations,-0.0217
combined,-0.0284
combining,0.0113
common,-0.0087
commonly,0.0027
communication,0.0637
community,-0.0005
comparable,-0.0247
compare,0.0212
comparing,-0.0314
comparisons,0.0439
compatible,-0.032
compensate,-0.0168
compensation,0.0122
compensatory,0.0002
competing,-0.0331
competition,-0.0242
complementary,0.0283
complete,0.0115
completed,0.0549
completely,0.0255
complex,-0.0353
complexity,-0.0158
component,0.0992
component ica,0.14
components,0.0153
composed,-0.0127
comprehension,0.0394
comprehensive,-0.0066
comprised,0.0277
compromised,0.0203
compulsive,0.0308
compulsive disorder,0.0332
computation,0.0047
computational,-0.0035
computed,0.0542
concentration,0.0078
concept,0.0252
concepts,-0.0082
conceptual,-0.0316
concerning,0.0424
conclude,-0.0665
