Feature,../../data/brains/braindiff_ad_mni.nii.gz
001,-0.0122
01,0.0331
05,0.0077
10,0.0437
100,0.0233
11,0.0199
12,0.0036
12 healthy,-0.0137
13,-0.0063
14,-0.0073
14 healthy,0.026
15,-0.0278
15 healthy,0.0104
16,0.0213
16 healthy,-0.0017
17,0.0421
18,0.0097
18 healthy,-0.0139
19,-0.0117
20,0.0189
20 healthy,0.0223
200,-0.0059
2014,0.0415
21,-0.0051
22,0.0341
23,0.0282
24,0.0334
25,0.0354
26,0.0582
27,0.0481
28,0.0445
29,0.0431
30,0.0129
31,0.0496
32,0.0254
33,0.0014
34,0.004
35,-0.0182
36,-0.006
37,-0.0559
38,0.0031
39,0.0257
3d,-0.0231
3t,-0.0156
40,-0.0281
41,0.04
42,0.0114
43,0.0387
44,-0.0998
45,-0.0899
46,-0.0347
47,-0.0228
48,0.0076
49,0.0342
50,-0.0006
60,-0.0086
70,-0.0035
75,0.0177
80,-0.008
90,0.0685
aberrant,0.1074
abilities,-0.0253
ability,0.0151
able,-0.017
abnormal,0.0784
abnormalities,0.0334
abnormality,-0.0125
absence,0.016
absent,-0.0288
abstract,-0.0342
abuse,0.034
acc,0.0327
access,-0.0327
accompanied,0.031
accordance,0.0015
according,-0.0119
accordingly,0.0488
account,-0.0179
accounted,-0.0514
accounts,0.0084
accumbens,-0.0223
accuracy,0.0189
accurate,0.0161
accurately,0.0334
achieve,0.009
achieved,0.0144
acoustic,-0.0022
acquired,0.0192
acquisition,-0.0353
act,0.0121
action,0.0072
action observation,-0.0305
actions,0.0128
activate,-0.0656
activates,-0.0334
activations,-0.0689
active,0.0362
actively,0.0125
activities,0.0082
acts,0.0103
actual,-0.0218
actually,-0.0199
acute,0.016
ad,0.0504
adaptation,-0.0783
adapted,0.0086
adaptive,0.0521
add,-0.0172
addiction,0.0228
addition,-0.0234
additional,-0.0501
additionally,0.0471
addressed,0.0053
adhd,0.0313
adjacent,-0.0059
administered,-0.0609
administration,-0.0356
adolescence,0.0498
adolescent,0.0638
adolescents,0.075
adopted,-0.0432
adult,0.0163
adulthood,0.0253
adults,0.0121
advance,-0.0084
advanced,0.025
advances,0.0161
advantage,-0.0244
affect,-0.0038
affected,-0.0052
affecting,-0.0152
affective,0.0386
affects,0.0298
age,0.0543
age controls,-0.033
age gender,0.0602
age groups,0.0112
age healthy,0.0021
age sex,0.0294
aged,0.0005
agent,0.0106
ages,0.0259
aging,0.007
agreement,0.0277
aim,0.0111
aimed,0.0222
aims,0.0119
al,0.016
alcohol,0.0209
alff,0.0674
algorithm,0.0521
allele,0.0083
allocation,0.017
allow,0.0124
allowed,-0.0228
allowing,-0.0067
allows,0.028
alpha,0.017
alter,0.0279
alteration,0.0232
alterations,0.0791
altered,0.0828
alternating,0.034
alternative,0.0294
alters,0.0303
alzheimer,0.026
alzheimer disease,0.0255
ambiguous,-0.044
amnestic,0.0554
amplitude,0.0568
amplitude low,0.0757
amplitudes,0.0405
amygdala,-0.0075
amygdala anterior,-0.0145
amygdala hippocampus,-0.0105
amygdala insula,-0.0073
amygdala response,-0.0087
amygdala responses,-0.0264
analysed,0.0388
analyses,0.0409
analyze,-0.0055
analyzed,0.0454
analyzed using,0.0071
analyzing,-0.0161
anatomical,-0.0522
anatomically,-0.0066
anatomy,-0.0044
anger,0.01
angry,-0.0368
angular,0.1295
angular gyrus,0.1173
animal,-0.0347
animals,-0.043
anisotropy,-0.0395
anisotropy fa,-0.0422
anterior,0.0488
anterior cingulate,0.0514
anterior hippocampus,0.0016
anterior insula,-0.0004
anterior insular,-0.0266
anterior intraparietal,-0.0315
anterior medial,0.0649
anterior posterior,0.0775
anterior prefrontal,0.0284
anterior superior,0.0118
anterior temporal,-0.0159
anti,0.0726
anticipation,-0.0132
anticipatory,-0.007
anxiety,0.0173
anxiety disorders,-0.0052
apart,-0.0086
aphasia,-0.026
apparent,-0.0026
appear,-0.0555
appeared,-0.0336
appears,-0.0182
application,0.0441
applied,0.0464
apply,0.0036
applying,-0.018
appraisal,0.0454
approach,0.0674
approaches,0.0452
appropriate,-0.0165
approximately,-0.0054
architecture,0.0365
argue,-0.0176
arise,-0.0051
arithmetic,-0.0717
arm,0.0236
arousal,0.0099
arterial,0.006
arterial spin,0.0117
articulatory,-0.0375
asd,0.0315
asked,-0.0119
aspect,0.0307
aspects,0.0407
assess,-0.0031
assessed,0.0803
assessed using,0.0259
assessing,-0.0001
assessment,-0.0066
assessments,-0.0042
assigned,0.0301
association,0.0289
associations,-0.0011
associative,-0.0626
assume,-0.0533
assumed,0.0592
assumption,-0.0273
asymmetry,-0.0368
atrophy,0.0028
attempt,-0.0073
attempted,0.0121
attend,-0.0331
attended,-0.014
attending,-0.0002
attention,0.0271
attention deficit,0.0451
attention network,0.068
attention task,0.0059
attentional,-0.0108
attentional control,0.0075
attenuated,-0.0082
attenuation,0.0332
attributed,0.0068
attributes,-0.0093
attribution,0.0621
atypical,0.0381
audiovisual,-0.0277
auditory,-0.0196
auditory cortex,-0.0065
auditory stimuli,-0.0439
auditory visual,-0.0315
autism,0.0767
autism spectrum,0.0653
autobiographical,0.128
autobiographical memory,0.0968
automated,0.0327
automatic,0.0137
automatically,-0.0112
autonomic,0.0198
available,0.0342
average,-0.0109
aversive,-0.0172
avoid,0.0104
avoidance,-0.0085
awareness,0.0088
away,0.0746
axis,-0.0235
ba,-0.0728
ba 44,-0.1177
background,0.0307
balance,0.0478
band,0.055
bands,0.0658
basal,-0.0164
basal ganglia,-0.0102
baseline,0.0405
bases,0.0281
basic,-0.0023
basis,0.0101
bayesian,-0.0176
beginning,-0.0213
behavior,0.0539
behavioral,-0.0322
behavioral evidence,0.0379
behavioral level,-0.0183
behavioral measures,-0.0115
behavioral performance,-0.0372
behavioral responses,0.0021
behaviorally,-0.0055
behaviors,0.0608
behaviour,0.0394
behavioural,-0.0309
belief,0.1295
beliefs,0.1907
believed,-0.0219
beneficial,0.0636
benefit,-0.0005
benefits,-0.0079
best,0.0178
beta,0.0544
better,0.0017
better understanding,0.0147
bias,0.0002
biased,0.0162
biases,-0.0097
bilaterally,-0.0779
bilinguals,-0.0493
binding,-0.0665
biological,0.0224
biomarker,0.0384
biomarkers,0.0617
bipolar,0.0392
bipolar disorder,0.0272
blind,-0.0173
block,-0.0011
block design,-0.0246
blocked,-0.0464
blocks,-0.0288
blood,0.0336
blood flow,0.0083
blood oxygen,0.0417
blood oxygenation,0.0128
bodily,-0.0197
body,-0.0603
bold,0.0419
bold response,0.0213
bold responses,0.0176
bold signal,0.0457
bold signals,0.0379
