Feature,../../data/brains/braindiff_a2_mni.nii.gz
001,-0.0243
01,0.0124
05,-0.0287
10,0.0392
100,0.0184
11,-0.0006
12,-0.0053
12 healthy,-0.0216
13,-0.0008
14,-0.008
14 healthy,-0.0066
15,-0.0434
15 healthy,-0.0219
16,0.0197
16 healthy,0.0094
17,0.0327
18,-0.0052
18 healthy,-0.0367
19,-0.0157
20,-0.0066
20 healthy,0.0056
200,-0.0026
2014,0.0109
21,-0.0192
22,0.0256
23,-0.004
24,0.0109
25,0.0036
26,0.0166
27,0.0208
28,-0.003
29,0.0124
30,-0.0056
31,0.0302
32,0.0151
33,0.001
34,-0.0022
35,-0.0034
36,-0.029
37,-0.0168
38,0.0124
39,0.0183
3d,-0.037
3t,-0.0275
40,0.0005
41,0.0054
42,0.0008
43,0.0076
44,-0.0648
45,-0.0542
46,-0.0015
47,0.0085
48,-0.0056
49,0.0421
50,-0.0187
60,-0.0289
70,-0.0173
75,-0.0069
80,-0.0143
90,0.03
aberrant,0.0594
abilities,-0.0379
ability,0.0602
able,0.0173
abnormal,0.0242
abnormalities,-0.0104
abnormality,-0.0308
absence,-0.0111
absent,-0.0029
abstract,0.0062
abuse,0.0347
acc,0.0595
access,0.0034
accompanied,0.0218
accordance,-0.0071
according,-0.004
accordingly,0.0079
account,-0.032
accounted,-0.0137
accounts,0.0058
accumbens,-0.0181
accuracy,0.0264
accurate,0.0246
accurately,0.0284
achieve,0.009
achieved,0.0103
acoustic,0.0023
acquired,-0.0163
acquisition,-0.0496
act,0.0071
action,0.0516
action observation,-0.0066
actions,0.0411
activate,-0.0232
activates,-0.0247
activations,-0.0251
active,0.0317
actively,0.0099
activities,0.0207
acts,0.0159
actual,-0.0157
actually,-0.0043
acute,-0.0143
ad,0.0006
adaptation,-0.0584
adapted,0.0248
adaptive,0.0657
add,-0.0063
addiction,0.0113
addition,0.0058
additional,-0.014
additionally,0.0282
addressed,0.0188
adhd,0.0275
adjacent,-0.0017
administered,-0.0646
administration,-0.0579
