Feature,/Users/paxtonfitzpatrick/Desktop/a1_mni.nii.gz
001,0.0112
01,0.04
05,0.0263
10,0.0657
100,0.0182
11,0.0022
12,0.0143
12 healthy,0.0032
13,0.035
14,0.0572
14 healthy,0.001
15,-0.0126
15 healthy,-0.0396
16,0.0256
16 healthy,0.0117
17,0.0009
18,0.0357
18 healthy,-0.0049
19,0.0336
20,0.0303
20 healthy,0.0165
200,-0.0136
2014,-0.0147
21,-0.0016
22,-0.0089
23,0.0078
24,0.0096
25,0.0594
26,-0.014
27,0.0021
28,-0.0107
29,0.0165
30,-0.0186
31,0.0053
32,0.0363
33,0.0166
34,0.0123
35,0.0254
36,-0.0132
37,0.0185
38,0.0394
39,-0.0121
3d,-0.0003
3t,0.0054
40,0.0441
41,-0.0094
42,-0.0071
43,-0.0159
44,-0.0632
45,-0.0536
46,0.0437
47,-0.0068
48,0.0007
49,0.0239
50,-0.0174
60,-0.0029
70,0.0127
75,0.0066
80,0.0179
90,-0.0145
aberrant,0.0082
abilities,0.0067
ability,0.034
able,-0.0045
abnormal,0.0124
abnormalities,0.0344
abnormality,0.0022
absence,-0.022
absent,0.0279
abstract,0.0078
abuse,0.0381
acc,0.0723
access,-0.0144
accompanied,-0.0468
accordance,0.0333
according,0.0341
accordingly,-0.0569
account,-0.01
accounted,0.0762
accounts,-0.041
accumbens,0.0385
accuracy,0.0369
accurate,0.0359
accurately,0.023
achieve,-0.0276
achieved,0.0193
acoustic,-0.1252
acquired,-0.037
acquisition,-0.066
act,-0.0056
action,0.0292
action observation,-0.0143
actions,-0.0061
activate,-0.0229
activates,-0.0277
activations,-0.0
active,-0.0247
actively,0.0041
activities,0.0285
acts,0.0078
actual,-0.0105
actually,0.0067
acute,0.0026
ad,-0.0069
adaptation,0.0114
adapted,0.0055
adaptive,0.0329
add,0.0491
addiction,0.0427
addition,0.0441
additional,0.0037
additionally,-0.0106
addressed,-0.0026
adhd,0.0338
adjacent,0.016
administered,0.0394
administration,0.0276
adolescence,0.032
adolescent,0.0367
adolescents,0.0147
adopted,-0.0081
adult,-0.0018
adulthood,0.0067
adults,0.0716
advance,0.0283
advanced,0.0075
advances,-0.0346
advantage,-0.0443
affect,-0.0119
affected,-0.0
affecting,-0.0338
affective,-0.0798
affects,-0.0034
age,0.0065
age controls,0.0013
age gender,0.0349
age groups,0.0358
age healthy,-0.0402
age sex,0.0014
aged,-0.0014
agent,0.0016
ages,-0.0134
aging,0.0528
agreement,0.0309
aim,0.0107
aimed,0.0272
aims,-0.0129
al,-0.0151
alcohol,0.0539
alff,0.0013
algorithm,-0.0068
allele,0.0191
allocation,0.0191
allow,-0.0208
allowed,0.0421
allowing,-0.0045
allows,0.0051
alpha,-0.0041
alter,0.0269
alteration,0.0215
alterations,0.0303
altered,0.0229
alternating,-0.0175
alternative,0.0116
alters,0.0196
alzheimer,-0.0023
alzheimer disease,0.0014
ambiguous,-0.025
amnestic,-0.006
amplitude,-0.0123
amplitude low,0.0157
amplitudes,0.0178
amygdala,-0.0293
amygdala anterior,-0.0054
amygdala hippocampus,-0.0262
amygdala insula,-0.0185
amygdala response,0.0052
amygdala responses,-0.0198
analysed,-0.0199
analyses,-0.0258
analyze,0.0035
analyzed,-0.0383
analyzed using,-0.0062
analyzing,0.0319
anatomical,-0.0535
anatomically,-0.0064
anatomy,-0.04
anger,-0.0427
angry,0.0048
angular,-0.0385
angular gyrus,-0.0352
animal,-0.0047
animals,0.0006
anisotropy,-0.0108
anisotropy fa,-0.0118
anterior,0.0511
anterior cingulate,0.0765
anterior hippocampus,-0.0114
anterior insula,-0.0154
anterior insular,0.0066
anterior intraparietal,0.069
anterior medial,-0.0046
anterior posterior,-0.0166
anterior prefrontal,0.0802
anterior superior,-0.0892
anterior temporal,-0.0775
anti,-0.0065
anticipation,0.0276
anticipatory,0.0067
anxiety,0.0083
anxiety disorders,-0.0028
apart,-0.0201
aphasia,-0.0602
apparent,-0.0222
appear,-0.0164
appeared,0.0041
appears,0.0321
application,0.0036
applied,-0.0346
apply,-0.0011
applying,0.0121
appraisal,-0.0342
approach,-0.0016
approaches,-0.0187
appropriate,0.0305
approximately,0.0211
architecture,0.024
argue,-0.0376
arise,-0.0007
arithmetic,0.0736
arm,-0.0375
arousal,-0.0478
arterial,-0.0069
arterial spin,-0.0056
articulatory,-0.0571
asd,0.0103
asked,-0.0134
aspect,-0.0038
aspects,-0.0579
assess,0.034
assessed,-0.0367
assessed using,0.0082
assessing,0.0005
assessment,0.0176
assessments,-0.0088
assigned,0.0358
association,-0.0144
associations,0.0374
associative,-0.0221
assume,-0.0071
assumed,-0.0275
assumption,0.0074
asymmetry,-0.0328
atrophy,0.0119
attempt,-0.0247
attempted,-0.0152
attend,-0.0058
attended,0.0003
attending,0.0321
attention,0.0925
attention deficit,0.0199
attention network,0.0465
attention task,0.0584
attentional,0.1077
attentional control,0.0666
attenuated,0.0164
attenuation,-0.0024
attributed,-0.0154
attributes,-0.0319
attribution,-0.0481
atypical,-0.0108
audiovisual,-0.081
auditory,-0.1382
auditory cortex,-0.1276
auditory stimuli,-0.0674
auditory visual,-0.0692
autism,-0.0133
autism spectrum,-0.0015
autobiographical,-0.0578
autobiographical memory,-0.0472
automated,-0.0279
automatic,-0.0143
automatically,-0.0334
autonomic,-0.0142
available,-0.0497
average,0.0058
aversive,-0.0015
avoid,-0.022
avoidance,0.0373
awareness,0.0265
away,0.0107
axis,0.0183
ba,0.016
ba 44,-0.0523
background,0.0487
balance,-0.0307
band,-0.0222
bands,-0.0078
basal,-0.0173
basal ganglia,-0.0104
baseline,-0.0339
bases,-0.0508
basic,-0.037
basis,0.0118
bayesian,0.0149
beginning,0.0051
behavior,0.0803
behavioral,0.0623
behavioral evidence,-0.016
behavioral level,0.0242
behavioral measures,0.0259
behavioral performance,0.0634
behavioral responses,-0.0317
behaviorally,0.0313
behaviors,0.0101
behaviour,0.0458
behavioural,-0.0098
belief,-0.0663
beliefs,-0.066
believed,0.0551
beneficial,0.0237
benefit,-0.0057
benefits,-0.009
best,0.0009
beta,-0.0026
better,0.0096
better understanding,-0.044
bias,0.0397
biased,0.0153
biases,0.0313
bilaterally,-0.0044
bilinguals,-0.0374
binding,0.0012
biological,0.0012
biomarker,-0.0167
biomarkers,-0.0031
bipolar,0.0272
bipolar disorder,0.0381
blind,0.0016
block,-0.0226
block design,-0.0312
