Frame,Onset time,Narrative details (external events),Narrative details (internal state),Characters on screen,Music presence,Speech,Character speaking,Indoor/outdoor,Setting,Scene name
0,0.0,BLACK SCREEN 1,,,no,,,,,
25,1.0,"Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.",,Michael,yes,,,outdoor,Family boat party,Introducing the Bluths
126,5.04,"Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.",,Michael,yes,This is Michael Bluth.,Narrator,outdoor,Family boat party,Introducing the Bluths
181,7.24,"The narrator describes Michael's job. Michael stands on the deck, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen.",,Michael,yes,"For ten years, he's worked for his father's",Narrator,outdoor,Family boat party,Introducing the Bluths
225,9.0,"George Senior, Michael's father, stands on the lower level of the boat at his retirement party. He holds a drink and talks to a group of people. The narrator continues.",,"George Senior, Michael, Lucille, Lindsay, guests",yes,"company, waiting to be made a partner.",Narrator,outdoor,Family boat party,Introducing the Bluths
279,11.16,"Michael stands, listen to his father, George Senior, talk. He looks at his sister, Lindsay, and mother, Lucille, and smiles. The narrator continues.",Michael is happy.,"Michael, Lindsay, guests",yes,"And right now, he's happy.",Narrator,outdoor,Family boat party,Introducing the Bluths
350,14.0,"Lucille Bluth, Michael's mother, walks down the stairs toward Michael. She is wearing a fancy dress and sunglasses. The narrator introduces her.",,"Lucille, Michael, guests",yes,This is Michael's mother.,Narrator,outdoor,Family boat party,Introducing the Bluths
390,15.6,Lucille walks up to Michael and pulls off her glasses. She talks to him.,Lucille is angry.,"Lucille, guests",yes,"Look what they've done, Michael!",Lucille,outdoor,Family boat party,Introducing the Bluths
421,16.84,The scene pauses. Mrs. Lucille Bluth Socialite is written on the screen. The narrator continues.,Lucille is angry.,"Lucille, Michael, guests",yes,She isn't happy.,Narrator,outdoor,Family boat party,Introducing the Bluths
455,18.200000000000006,Lucille demands Michael look at what the homosexuals did to her.,"Lucille is angry, ambiguous, and possibly bigoted.","Lucille, Michael, guests",yes,Look what the homosexuals have done to me.,Lucille,outdoor,Family boat party,Introducing the Bluths
532,21.28,"Michael asks if his mother, Lucille, can simply fix her hair.","Michael is uncomfortable with his mother's words, and pretends to think she is referring to her hair.","Michael, Lucille, guests",yes,You can't just comb that out and reset it?,Michael,outdoor,Family boat party,Introducing the Bluths
596,23.84,Lucille rolls her eyes at Michael's reply. The narrator continues.,Lucille is annoyed with Michael.,"Lucille, guests",yes,"Currently, she's upset",Narrator,outdoor,Family boat party,Introducing the Bluths
643,25.72,"On the other side of the yacht, a group of gay protestors wearing bright clothing dance, shout, and hold signs on a small barge. Guests on the deck watch them. The narrator continues.",,"gay protestors, guests",yes,"Currently, she's upset that her husband’s retirement party is being upstaged by a group of gay protesters.",Narrator,outdoor,Family boat party,Introducing the Bluths
753,30.12,"The protestors advocating for gay marriage hold up signs, dance, and chant from the small barge.",,gay protestors,yes,"We're here, we're queer! We want to get married on the ocean!",Protestors,outdoor,Protestors' barge,Introducing the Bluths
831,33.24,"Lucille and Michael stand on the deck of the yacht, watching the protestors. Lucille rants about the protestors and Michael rolls his eyes.","Lucille does not like at the protestors, or gay people. Michael is annoyed with his mother's dramatic tone.","Lucille, Michael",yes,Everything they do is so dramatic and flamboyant. It just makes me want to set myself on fire!,Lucille,outdoor,Family boat party,Introducing the Bluths
1014,40.56,"Lindsay Bluth Funke, Michael's sister, appears and pulls off her glasses. She scolds Lucille, her mother. Michael walks away.",,"Lucille, Lindsay, Michael",yes,"good grief, mother.",Lindsay,outdoor,Family boat party,Introducing the Bluths
1079,43.16,"Lindsay begins to lecture her mother, but stops short as she looks closer at the barge of protestors.",,"Lindsay, Lucille",yes,Not all homosexuals are flamboyant...,Lindsay,outdoor,Family boat party,Introducing the Bluths
1135,45.40000000000001,Lindsay notices and remarks that one of the gay protestors is wearing a blouse she owns.,"Lindsay is taken aback, surprised.",Lindsay,yes,"Oh my god, I have the exact same blouse.",Lindsay,outdoor,Family boat party,Introducing the Bluths
1203,48.12000000000001,The scene pauses. The narrator introduces Lindsay. Lindsay Bluth Funke Activist is written on the screen.,,Lindsay,yes,"This is Michael’s twin sister, Lindsay.",Narrator,outdoor,Family boat party,Introducing the Bluths
1254,50.16,"The camera pans to Lucille, who tells Lindsay the gay protestor wears the blouse better than her.",Lucille is rude to Lindsay,Lucille,yes,I like it better on him.,Lucille,outdoor,Family boat party,Introducing the Bluths
1312,52.48,"Lindsay glares at her mother, puts her glasses back on, and walks away. The narrator continues.",Lindsay and Lucille do not get along.,"Lindsay, Lucille",yes,"As a youthful act of defiance, Lindsay",Narrator,outdoor,Family boat party,Introducing the Bluths
1380,55.2,"The narrator describes Lindsay's marriage. A newspaper picture of her husband, Dr. Tobias Funke is shown. Not on boat is written on the screen.",,Tobias,yes,Married this man.,Narrator,,Narrator backstory,Introducing the Bluths
1455,58.2,The narrator describes Lindsay's and Tobias's marriage. The camera zooms to Boston on a map.,,,yes,"They moved to Boston, where they've become",Narrator,,Narrator backstory,Introducing the Bluths
1496,59.84,The narrator describes Lindsay's and Tobias's marriage. Lindsay stands at a fundraiser in a fancy dress. A waiter carrying a silver platter approaches.,Lindsay is living a life of luxury.,"Lindsay, Waiter",yes,celebrated for their wine and cheese fundraisers.,Narrator,indoor,Fundraiser,Introducing the Bluths
1559,62.36000000000001,"Lindsay turns the waiter away, saying she is too full to eat.",,"Lindsay, Waiter",yes,"Oh, no, I'm completely stuffed.",Lindsay,indoor,Fundraiser,Introducing the Bluths
1609,64.36,The waiter walks away. Lindsay turns back to her conversation. The narrator continues.,,"Lindsay, Waiter",yes,Michael and his sister haven't,Narrator,indoor,Fundraiser,Introducing the Bluths
1648,65.92,"The narrator describes Michael's and Lindsay's relationship and lack of communication. A picture shows Michael, Lindsay, GOB, and Buster standing together, wearing nice clothing.",Michael and Lindsay are not close.,"Michael, Lindsay, GOB, Buster",yes,spoken in a year. Neither has acknowledged this.,Narrator,,Narrator backstory,Introducing the Bluths
1723,68.92,The camera zooms in on GOB and the narrator introduces him.,,GOB,yes,And this is GOB.,Narrator,,Narrator backstory,Introducing the Bluths
1768,70.72,"GOB looks into a large, wooden Aztec Tomb. Children watch. Michael walks up, holding a glass of wine. The narrator introduces GOB.",,"GOB, Michael, children, guests",yes,Michael's oldest brother.,Narrator,outdoor,Family boat party,Introducing the Bluths
1800,72.0,"Michael greets GOB, who quickly shuts the door of the fake Aztec Tomb.",,"GOB, guests",yes,So,Michael,outdoor,Family boat party,Introducing the Bluths
1836,73.44,Michael walks up to GOB and the Aztec Tomb and asks about the magic trick.,,"Michael, GOB, guests",yes,"This is the magic trick, huh?",Michael,outdoor,Family boat party,Introducing the Bluths
1877,75.08,"GOB corrects Michael, saying what he is doing is an illusion, not a trick. Michael sips his drink and nods.",GOB is elitist about his magic. Michael is being condescending.,"GOB, Michael, guests",yes,"Illusion, Michael. A trick is something a whore does for money.",GOB,outdoor,Family boat party,Introducing the Bluths
1973,78.92,Michael rolls his eyes and motions to the children standing nearby.,Michael is annoyed with GOB.,"Michael, GOB, guests",yes,,,outdoor,Family boat party,Introducing the Bluths
1997,79.88000000000002,GOB looks down at the group of children.,,"GOB, guests",yes,,,outdoor,Family boat party,Introducing the Bluths
2029,81.16000000000003,"The children stare, open-mouthed, at GOB.",,"Children, guests",yes,,,outdoor,Family boat party,Introducing the Bluths
2061,82.44000000000003,GOB looks down at the children and tries to fix his mistake.,GOB is awkward.,"GOB, children",yes,or candy!,GOB,outdoor,Family boat party,Introducing the Bluths
2118,84.72,The scene freezes. The narrator describes GOB. G.O.B George Oscar Bluth II Magician (part-time) are written on the screen.,"GOB is short for his full name, George Oscar Bluth, Junior","GOB, children",yes,GOB recently started the alliance,Narrator,outdoor,Family boat party,Introducing the Bluths
2175,87.0,Zoom out of a photograph of GOB. G.O.B George Oscar Bluth II Magician (part-time) is written on the screen. The narrator describes his magic.,,GOB,yes,of magicians.,Narrator,,Narrator backstory,Introducing the Bluths
2206,88.24000000000002,"Zoom out from the picture of GOB and the Alliance of Magicians, a strange group of people standing together. GOB holds a sign that says ""We Demand To Be Taken Seriously.""  The narrator describes the Alliance of Magicians.","GOB takes his magic very seriously, in a comical way.",GOB,yes,An organization that blackballs any performer who reveals a magician’s secret.,Narrator,,Narrator backstory,Introducing the Bluths
2317,92.68,"Buster Bluth, Michael's socially awkward younger brother, sneaks up behind Michael and grabs his shoulders. The narrator introduces him.",,"Michael, Buster, Lucille, guests",yes,"And finally, there's Buster",Narrator,outdoor,Family boat party,Introducing the Bluths
2373,94.92,"Michael greets Buster, who laughs and aggressively massages his back. Michael sits at a table, writing.",Michael is tolerating Buster,"Michael, Buster",yes,"Hey, Buster.",Michael,outdoor,Family boat party,Introducing the Bluths
2408,96.32,The narrator describes Buster. Buster aggressively massages Michael's back.,Buster is socially awkward. Michael is tolerating Buster.,"Michael, Buster, guests",yes,the youngest of Michael's siblings.,Narrator,outdoor,Family boat party,Introducing the Bluths
2460,98.4,Michael politely tells Buster he does not need a back massage.,Michael is tolerating Buster.,"Michael, Buster, guests",yes,"You know, you don't need to do that",Michael,outdoor,Family boat party,Introducing the Bluths
2506,100.24,Buster stops rubbing Michael's back and stands up.,,"Michael, Buster, guests.",yes,"buddy, it's okay.",Michael,outdoor,Family boat party,Introducing the Bluths
2535,101.4,"The scene pauses. Byron ""Buster"" Bluth Graduate Student is written on the screen. The narrator describes Buster's numerous academic pursuits.",,"Michael, Buster",yes,"Thanks to the family’s largesse, Buster has studied",Narrator,outdoor,Family boat party,Introducing the Bluths
2605,104.2,"Buster, other students, and a Native American man sit around a camp fire, playing drums. Buster bangs on his drum loudly and improperly.",Buster is generally incompetent and awkward.,"Buster, students",no,everything from Native American tribal ceremonies,Narrator,outdoor,Campfire,Introducing the Bluths
2735,109.4,The Native American instructor grabs Buster's hands and tries to help him with the drum. The narrator continues.,Buster is generally incompetent and awkward.,"Buster, students.",no,to cartography: the mapping of uncharted territories.,Narrator,outdoor,Campfire,Introducing the Bluths
2816,112.64,Michael and Buster both cross their arms. Michael asks Buster a question,,"Michael, Buster, guests",yes,Hasn't everything already sort of,Michael,outdoor,Family boat party,Introducing the Bluths
2859,114.36,Michael asks Buster if old explorers have already discovered everything there is.,,"Michael, Lucille",yes,"Hasn't everything already sort of been discovered, though by, like, Magellan",Michael,outdoor,Family boat party,Introducing the Bluths
2938,117.52,Michael continues. Buster stares at him.,Buster is awkward and confused.,"Buster, Michael",yes,"and, and Cortes?",Michael,outdoor,Family boat party,Introducing the Bluths
2968,118.72,Buster responds.,,"Buster, Michael",yes,"Oh, yeah, yeah.",Buster,outdoor,Family boat party,Introducing the Bluths
2997,119.88,Michael asks,,"Buster, Michael",yes,All those folks.,Michael,outdoor,Family boat party,Introducing the Bluths
