Frame	Time	Scene info	Scene info:narrative details - external	Scene info:narrative details - internal	Scene info:characters on screen	Scene info:Music Presence	speech	speech:transcription	speech:character speaking	setting	setting:indoor/outdoor	setting:setting	Scene name	Scene name:scene name	
0	0.0	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
1	0.04	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
2	0.08	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
3	0.12000000000000001	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
4	0.16	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
5	0.2	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
6	0.24000000000000002	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
7	0.28	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
8	0.32	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
9	0.36000000000000004	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
10	0.4	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
11	0.44	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
12	0.48000000000000004	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
13	0.52	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
14	0.56	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
15	0.6000000000000001	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
16	0.64	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
17	0.68	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
18	0.7200000000000001	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
19	0.76	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
20	0.8	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
21	0.8400000000000001	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
22	0.88	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
23	0.92	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
24	0.9600000000000001	1	BLACK SCREEN 1	0	0	0	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	
25	1.0	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
26	1.04	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
27	1.08	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
28	1.12	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
29	1.1600000000000001	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
30	1.2000000000000002	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
31	1.24	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
32	1.28	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
33	1.32	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
34	1.36	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
35	1.4000000000000001	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
36	1.4400000000000002	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
37	1.48	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
38	1.52	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
39	1.56	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
40	1.6	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
41	1.6400000000000001	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
42	1.6800000000000002	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
43	1.7200000000000002	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
44	1.76	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
45	1.8	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
46	1.84	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
47	1.8800000000000001	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
48	1.9200000000000002	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
49	1.9600000000000002	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
50	2.0	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
51	2.04	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
52	2.08	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
53	2.12	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
54	2.16	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
55	2.2	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
56	2.24	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
57	2.2800000000000002	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
58	2.3200000000000003	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
59	2.3600000000000003	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
60	2.4000000000000004	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
61	2.44	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
62	2.48	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
63	2.52	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
64	2.56	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
65	2.6	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
66	2.64	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
67	2.68	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
68	2.72	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
69	2.7600000000000002	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
70	2.8000000000000003	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
71	2.8400000000000003	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
72	2.8800000000000003	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
73	2.9200000000000004	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
74	2.96	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
75	3.0	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
76	3.04	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
77	3.08	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
78	3.12	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
79	3.16	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
80	3.2	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
81	3.24	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
82	3.2800000000000002	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
83	3.3200000000000003	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
84	3.3600000000000003	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
85	3.4000000000000004	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
86	3.4400000000000004	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
87	3.4800000000000004	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
88	3.52	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
89	3.56	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
90	3.6	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
91	3.64	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
92	3.68	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
93	3.72	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
94	3.7600000000000002	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
95	3.8000000000000003	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
96	3.8400000000000003	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
97	3.8800000000000003	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
98	3.9200000000000004	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
99	3.9600000000000004	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
100	4.0	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
101	4.04	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
102	4.08	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
103	4.12	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
104	4.16	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
105	4.2	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
106	4.24	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
107	4.28	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
108	4.32	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
109	4.36	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
110	4.4	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
111	4.44	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
112	4.48	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
113	4.5200000000000005	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
114	4.5600000000000005	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
115	4.6000000000000005	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
